organization,location,description,website
Elul,Israel,Elul is an alternative to today's status-quo. Elul uses traditional and modern Jewish texts to create pluralistic dialogues in a beit midrash style that are relevant and current. Our goal is to return to our roots in order to find a pluralistic definition of who we – as individuals and as a nation – are today. ,http://www.elul.org.il/default.asp?lang=en
Encounter,United States,Encounter is a non-partisan educational organization cultivating informed and constructive Jewish leadership on the Israeli-Palestinian conflict.,http://www.encounterprograms.org/
Facing History and Ourselves National Foundation,United States,"Facing History and Ourselves is an international educational and professional development organization whose mission is to engage students of diverse backgrounds in an examination of racism, prejudice, and antisemitism in order to promote the development of a more humane and informed citizenry.",https://www.facinghistory.org/
Federation CJA,Canada,"We aim to be the driving force in a vibrant and caring Montreal Jewish Community. In partnership with an effective network of organizations, we build and sustain the community by providing principled leadership, by raising and distributing funds, and by facilitating, incubating and overseeing the delivery of services and programs. ",http://www.federationcja.org/en/
Focused Ultrasound Foundation,United States,"The Focused Ultrasound Foundation is working to provide patients with this non-invasive, life-changing treatment option in the shortest time possible. The Focused Ultrasound Foundation was established in 2006 with the mission to shorten the time from technology development to patient treatment; to foster new applications; and to accelerate the worldwide adoption of focused ultrasound surgery.",http://www.fusfoundation.org/
Fondation de l'Université Laval,Canada,"As North America’s first French-language university, Université Laval draws strength from its history and vitality. Université Laval contributes to the development of society by educating qualified and responsible individuals who become agents of change and by seeking and sharing knowledge in a stimulating environment of research and creation.",http://www2.ulaval.ca/en.html
Fondation des YMCA du Quebec,Canada,"The YMCAs of Québec is a charitable organization that contributes to the development of spirit, mind, and body, and to the well-being of individuals, families, and communities. The Foundation ensures the YMCA sustainability by promoting the impact of its community action, by raising the funds to support it and by administering these funds responsibly. ",http://www.ymcaquebec.org/cmsctx/culture/en-ca/-/en/Home
Foundation for Defense of Democracies,United States,"FDD is a non-partisan institution focusing on national security and foreign policy. FDD was founded by a group of former U.S. officials and visionary philanthropists shortly after the attacks of September 11, 2001 to help free nations defend themselves.",http://www.defenddemocracy.org/
Foundation Center,United States,"Established in 1956, Foundation Center is the leading source of information about philanthropy worldwide. Through data, analysis, and training, it connects people who want to change the world to the resources they need to succeed. ",http://foundationcenter.org/
Foundation for Jewish Camp,United States,"The Foundation for Jewish Camp unifies and galvanizes the field of Jewish camp and significantly increases the number of children participating in high quality, immersive, and transformative Jewish summers, assuring a more vibrant North American Jewish community.",http://www.jewishcamp.org/
Foundation for Jewish Culture Inc.,United States,"The Foundation for Jewish Culture put Jewish culture, in general, and the arts, in particular, into the conversation about contemporary Jewish identity by investing in creative individuals in order to nurture a vibrant and enduring Jewish identity, culture and community. This goal was achieved through the provision of grants, recognition awards, networking opportunities and professional development services to artists and scholars. The organization ceased all operations in 2014.",
Friends of the Canadian Museum for Human Rights Inc.,Canada,"The Canadian Museum for Human Rights (CMHR) is the first museum solely dedicated to the evolution, celebration and future of human rights. Established by Parliament through amendments to the Museums Act on March 13, 2008, which came into force on August 10, 2008, the Canadian Museum for Human Rights (CMHR) is envisioned as a national and international destination-a centre of learning where Canadians and people from around the world can engage in discussion and commit to taking action against hate and oppression.",https://humanrights.ca/
Friends of Green Chimneys,United States,"Green Chimneys is the nationally renowned, non-profit organization with a mission of restoring possibilities and creating futures for children with emotional, behavioral, social and learning challenges through educational, therapeutic and outreach services, while providing care for animals and nature, thereby promoting a philosophy of dignity and worth for all living things.",http://www.greenchimneys.org/
Friends of the Israel Defense Forces - Western Region,United States,"Friends of the Israel Defense Forces (FIDF) was established in 1981 by a group of Holocaust survivors, under the leadership of John Klein z'l, to provide for education and wellbeing of the men and women who serve in the Israel Defense Forces (IDF) as well as the families of fallen soldiers. The Western Region of Friends of the IDF was founded in 1981 by Leo David who today serves as Chairman of the region and a member of the National Board of Directors. ",http://www.fidf.org/page.aspx?pid=266
Friends of Yad Sarah,United States,"Yad Sarah is the leading volunteer-staffed organization in the State of Israel. With the assistance of over 6,000 volunteers in more than 100 locations, Yad Sarah provides help to over 400,000 people every year, addressing the home and health care needs of the frail and the disabled as well as victims of terror, children with special needs, and the homebound. Friends of Yad Sarah represents the mission of Yad Sarah to its friends in the U.S. and to the international community at the UN.",http://friendsofyadsarah.org/
Fromm Institute for Lifelong Learning,Israel,"The Fromm Institute is a ""University within a University"" offering daytime courses for retired adults over 50 years of age. Founded by Alfred and Hanna Fromm in 1976, the Institute offers intellectual stimulation and introduces its members to a wide range of college level learning opportunities with full access to the facilities and services at USF. The Fromms established a sister program at Hebrew University in Jerusalem in 1979.",http://fromm.usfca.edu/index.html
Fund for Journalism on Jewish Life,United States,The Fund for Journalism on Jewish Affairs was established in 1987 by the CRB Foundation to enable established journalists and writers of promise to work on worthy projects of concern to the writer and of importance to the Jewish community.,
"Galex Foundation, Inc.",United States,"“The Battle for Peace: Shimon Peres"" is an infomercial for the Israeli Prime Minister that was created in 1996 just before the election. ",
Galilee Foundation for Value Education - Shorashim,Israel,"From a vision of Zionism that integrates rootedness in the Land of Israel and Jewish unity with the values of equality, freedom of conscience, and religious and ethnic pluralism, Galilee Foundation works to bring together in dialogue and trust those who would otherwsie not meet, whether Jews and Arabs or Jews from different backgrounds and traditions. In our work we grapple with what it means for Israel to be both a Jewish and a democratic state, and the consequences that brings.",http://eng.makom-bagalil.org.il/about_us/
Gesher Foundation Inc.,United States,"Gesher closes the gap between secular, religious and ultra-Orthodox Jews in Israel, and promotes our shared heritage as the force which can hold us together. Meaning ‘Bridge’ in Hebrew, Gesher has refined a unique educational approach that confronts our differences, fosters commitment to Jewish identity and builds skills for a shared future.",http://www.gesherusa.org/
Gesher Theatre,Israel,"In 1991, during the first Gulf War, a group of Russian actors under the leadership of Yevgeny Arye, a prominent stage director from Moscow, immigrated to Israel and in a bold move, founded a theatre symbolically named Gesher: 'a bridge' in Hebrew. Over the years Gesher Theatre has lived up to its symbolic name and has become a bridge between Russian and Israeli cultures.",http://www.gesher-theatre.co.il/en/
Gift of Life Bone Marrow Foundation,United States,"Gift of Life is one of the nation's public bone marrow, blood stem cell and umbilical cord blood registries. Through its life-saving work, Gift of Life is a world leader facilitating transplants for children and adults suffering from many life-threatening diseases, among them leukemia and lymphoma. In 2004, Jay Feinberg received the prestigious Charles Bronfman Prize for his accomplishments.",http://www.giftoflife.org/
Givat Haviva,Israel,"Givat Haviva is a non-profit organization founded in 1949 as the national education center of the Kibbutz Federation in Israel. It is dedicated to promoting mutual responsibility, civic equality and cooperation between divided groups in Israel as the foundation for building a shared future and shared society – critical elements of a sustainable and thriving Israeli democracy. ",http://www.givathaviva.org/index.php
Golda Meir Association,United States,"The Golda Meir Association was the North American support group for the Israeli association, whose large-scale educational programs addressed the issues of democracy in Israel, Sephardi-Ashkenazi integration, religious pluralism, the peace process, and relations between Israeli Jews and Arabs. Its ""Project Democracy"" was adapted to help new Soviet immigrants integrate into Israeli society by providing them an education in democratic ideals and principles. ",
Governor Dummer Academy,United States,"The Governor’s Academy, founded in 1763 on New England farmland, combines centuries of tradition with a dedication to educational innovation. Students flourish in a diverse community distinguished by enduring relationships with teachers and defined by a commitment to learning and a thoughtful balance of academics, athletics, arts and service to others.",http://www.thegovernorsacademy.org/
Greater Miami Jewish Federation Inc.,United States,"For more than 70 years, the Greater Miami Jewish Federation has been a unifying force for Jewish community-building and philanthropy. We work to enrich the quality of Jewish life in Miami-Dade County by bringing comfort and hope to the vulnerable and by investing in programs that build Jewish knowledge, identity and peoplehood — ensuring the next generation of Jews.",http://jewishmiami.org/
Green Templeton College at Oxford University,England,"Building on its role as Oxford’s specialist graduate college in Management Studies, Templeton became the center of a high-level network in the subject, bringing together Fellows, students and alumni, business leaders, and leaders of thought from around the world in order to cross-fertilize study and debate, and catalyze new approaches.",http://www.gtc.ox.ac.uk/
"Ha'am, The Fund for the People ",United States,"The mission of Ha’am, The Fund for the People, is to promotion of principles of social justice, peace and democracy in the United States, Israel and throughout the world and further peaceful relations among diverse ethnic, cultural and religious populations in Israel. ",
Hadassah Medical Organization,Israel,"Founded by Hadassah, the Women’s Zionist Organization of America, the Hadassah Medical Organization pioneered the development of standards and practices of health care in Israel. Its main focus and its health care activities are in Jerusalem, and its heritage and emotional links are deeply rooted in the land of Israel and its people.",http://www.hadassah-med.com/
Hakol Hinuch,Israel,"Hakol Hinuch, the Movement for the Advancement of Education in Israel, a non-profit organization, was founded in response to the needs for reform in the education system in Israel. The movement is comprised of people from various disciplines, educators, teachers and principals, businessmen, secular and religious representatives, who wish to create a long-term reform in the public education system, backed by a multi-year budget.",
Harlem Village Academies ,United States,"Harlem Village Academies is a community of educators in Harlem, working to revolutionize public education in our nation by building a K-12 public school district and an educators’ institute, based on the ideals of progressive pedagogy.",http://harlemvillageacademies.org/
Harmony Foundation of Canada,Canada,"Harmony Foundation is a registered charitable organization recognized internationally for its leadership in multi-sector cooperation and creating innovative training programs and educational materials for educators, youth, the workplace, local leaders and communities.",http://harmonyfdn.ca/
Harold Grinspoon Foundation,United States,"The Foundation supports work in areas that encourage young people to reach their academic and leadership potential, promote literacy and early childhood education, reward excellence in teaching and education, support entrepreneurship among young people, promote education and health in Cambodia. One of the flagship programs, PJ Library (PJ for pajamas), in partnership with local communities provides families with the gift of free, high-quality children's books, music, and other resources that foster Jewish learning and create a gateway for deeper engagement in Jewish life. ",http://www.hgf.org/
Harvard University,United States,"Harvard University is devoted to excellence in teaching, learning, and research, and to developing leaders in many disciplines who make a difference globally.",http://www.harvard.edu/
HealthCare Chaplaincy Network,United States,"HealthCare Chaplaincy Network™ (HCCN),also known as the Jewish Institute for Pastoral Care, founded in 1961, is a global health care nonprofit organization that offers spiritual care-related information and resources, and professional chaplaincy services in hospitals, other health care settings, and online.",http://www.healthcarechaplaincy.org/
Hebrew Academy ,Canada,Hebrew Academy in Montreal provides children of Torah observant families with academic excellence in both Limudei Kodesh and secular studies.,http://www.ha-mtl.org/
Hebrew Charter School Center,United States,Hebrew Charter School Center's mission is to build a movement of academically rigorous dual-language charter schools across America that teach children of all backgrounds to become fluent and literate in Modern Hebrew and prepare them to be productive global citizens.,http://hebrewcharters.org/
Hillel Montreal,Canada,"Hillel provides an opportunity for the Jewish student population to play a vibrant role on campus with Jewish and secular communities. The agency provides a professionally guided presence at the Universities and CEGEPS in Montreal. Hillel activities are designed to develop leadership abilities among students on campus. The programs aim to meet cultural, social, religious and personal needs of students.",http://www.hillel.ca/
Hillel: The Foundation for Jewish Campus Life,United States,"Hillel's mission is to enrich the lives of Jewish undergraduate and graduate students so that they may enrich the Jewish people and the world. Hillel student leaders, professionals and lay leaders are dedicated to creating a pluralistic, welcoming and inclusive environment for Jewish college students, where they are encouraged to grow intellectually, spiritually and socially.",http://www.hillel.org/
Historica Canada ,Canada,"Historica Canada began operating in 2000 as the Historica Foundation with a mandate to engage young Canadians in the history of their country. Using groundbreaking public opinion research and innovative TV, new media and in-school programs, Historica Canada helps hundreds of thousands of Canadians connect in meaningful ways with the country’s history, shared citizenship and democratic institutions and values. Historica Canada’s programs fall under three themes: memory, democracy and identity. Through the scope and quality of its programs, Historica Canada has become the leading national organization in its field. ",https://www.historicacanada.ca/
Idud Ve-Amit-La-Oleh,Israel,ACBP provided assistance in renovating apartments for new immigrants in cooperation with the army and organizing courses for newcomers in subjects that helped in adjusting to daily life in Israel.,
Imagine Canada,Canada,Imagine Canada (formerly Canadian Centre for Philanthropy) is a national charitable organisation dedicated to advancing the role and interests of the charitable sector for the benefit of Canadian communities. ,http://www.imaginecanada.ca/
Info-Cult,Canada,"Info-Cult is a non-profit charitable organization founded in 1980 based in Montreal (Quebec, Canada) that offers help and information about cults, new religious movements and related groups and subjects. ",http://infosect.freeshell.org/infocult/ic-home.html
Institut de réadaptation Gingras-Lindsay-de-Montréal,Canada,"The Institut de réadaptation Gingras-Lindsay-de-Montréal (IRGLM) is the result of the 2008 merger of the Institut de réadaptation de Montréal and of the Lindsay Rehabilitation Hospital. Its mission is to provide adults with safe, high-quality rehabilitation care and services in order to optimize their potential for autonomy and contribute to the advancement and sharing of knowledge through teaching, research and the assessment of technologies and means of intervention. ",http://irglm.qc.ca/en
Institute for Canadian Citizenship,Canada,"The Institute for Canadian Citizenship is a national, non-profit charity that helps accelerate new citizens' integration into Canadian life through original programs, collaborations and unique volunteer opportunities. While the focus is on encouraging new citizens to take their rightful place in Canada, they want all citizens – new or not – to embrace active citizenship in their daily life.",https://www.icc-icc.ca/en/
Institute for Family Enterprise,Canada,"To strengthen the quality and performance of family enterprise advisors through education, designation and advocacy of best practices.",http://www.ifea.ca/cpages/homepage
Institute for International Economics,United States,"The Peterson Institute for International Economics is a private nonpartisan nonprofit institution for rigorous, intellectually open, and indepth study and discussion of international economic policy. Its purpose is to identify and analyze important issues to make globalization beneficial and sustainable for the people of the United States and the world and then to develop and communicate practical new approaches for dealing with them.",http://www.piie.com/
Institute for Middle East Peace and Development,United States,"The Institute for Middle East Peace and Development was established by Dr. Stephen P. Cohen in 1979 at CUNY, and is now an independent organization. IMEPD was designed to serve as a venue for confidential, Track II Arab-Israeli dialogue. It pioneered bringing together social scientists from Middle East universities for collaborative research, culminating in the Images in Conflict Project. ",
Institute for Research on Public Policy,Canada,"The IRPP seeks to improve public policy in Canada by generating research, providing insight and sparking debate on current and emerging policy issues facing Canadians and their governments.",http://irpp.org/
Inter-Agency Task Force on Israeli Arab Issues (IATF),United States,"The Inter-Agency Task Force on Israeli Arab Issues, with ACBP on it is board, was founded in 2006 with the mission to generate awareness among the North American Jewish and Israeli public to advance civic equality in Israel, where Israeli Jews and Arabs can contribute, participate and benefit as full citizens. Members of the Inter-Agency Task Force on Israeli Arab Issues, a coalition of North American Jewish organizations, foundations, private philanthropists and international affiliates, are committed to the welfare of Israel and support the Jewish state's right to a secure and peaceful existence. Members of the Task Force are proud of the democratic, sovereign state of the Jewish people and support Israel's Declaration of Independence including the article that promises social and political equality for all its inhabitants, Jews and Arabs alike. ",http://www.iataskforce.org/
"International Center for Creative Music, Jerusalem",Israel,"The International Center for Creative Music, Jerusalem, a registered non profit organization, began its activities on January 1, 1998. The center conducts various programs for approximately 150 musicians, in cooperation with the Jerusalem Municipality and through funding from foundations and private sources.",http://icfcj.tripod.com/
International Sephardic Education Foundation (ISEF),United States,"ISEF’s mission is to narrow Israel’s socio-economic gap through higher education for gifted students from disadvantaged backgrounds.  Its unique methodology combines scholarship grants with required community service, as well as training in leadership and social awareness.",http://iseffoundation.org/
International Institute for the Study of Jewish Communities,United States,"Frederic Brenner's ""Chronicle of a People"" 1997-1999",
"International Society for Yad Vashem, Inc.",United States,"Founded in 1981 by a group of Holocaust survivors, and spearheaded by Eli Zborowski, the American Society for Yad Vashem works in partnership with Yad Vashem, the Holocaust Martyrs' and Heroes' Remembrance Authority in Jerusalem to support their efforts in the areas of commemoration, education, research, capital improvement and special projects.",http://www.yadvashemusa.org/
Interns for Peace North America,United States,"Under the leadership and vision of Rabbi Bruce Cohen, Interns for Peace (IFP) focused on an action- oriented, community-based, non-political approach to building relationships and resolving conflicts between Israel's Jews and Arabs. Unlike the many organizations or governmental agencies that work primarily or exclusively on the level of leadership, IFP focuses its programs on the firm belief that peace can only be achieved when based upon a foundation of local community transformation, especially among the younger generations.",
Intracoastal Health Foundation,United States,"The compassionate staff at Intracoastal Health Systems provide individualized, medical services designed to meet the needs of each patient. Their dedicated health professionals provide careful assistance and quality care, personalized to meet the needs of each patient. ",
Investigative Project on Terrorism Foundation,United States,The Investigative Project on Terrorism (IPT) is a non-profit research group founded by Steven Emerson in 1995. It is recognized as the world's most comprehensive data center on radical Islamic terrorist groups. ,http://www.investigativeproject.org/
IsrA.L.S. - The Israel A.L.S. Research Association,Israel,"The IsrA.L.S. vision is that of all ALS victims everywhere: to create a world where ALS is a treatable and manageable disease, and ALS patients can enjoy an optimal quality of life. Though still a young organization, IsrA.L.S. has become the first and only address for ALS in Israel. With a minimal staff, a tight budget and big hearts, IsrA.L.S is making a significant impact among the ALS community. ",http://en.israls.org.il/
Israel Builders,Israel,"This is the representative organization of those who work in construction, infrastructure work, building and engineering work etc. Their goal is to elevate the level of professionalism in the field, fighting accidents in the working place and training workers. They also provide their members with legal assistance.",http://www.acb.org.il/
Israel-Canada Chamber of Commerce & Industry ,Canada,The Israel-Canada Chamber of Commerce & Industry provides support and assistance to the business communities in Israel and Canada with the aim of facilitating and accelerating bilateral trade and investments between the two countries.,http://www.israel-canada.org/
Israel Cultural Excellence Foundation,Israel,"The Israel Cultural Excellence Foundation (IcExcellence) is a cultural start-up designed to expand and deepen Israeli excellence. IcExcellence identifies and brings together Israeli artists of exceptional talent who have clear potential and the motivation for significant additional growth. We offer them a uniquely designed empowerment program that nurtures yet challenges them on their journey to higher achievements, personal greatness and cultural leadership.",http://www.icexcellence.com/default.asp
Israel Democracy Institute,Israel,"The Israel Democracy Institute is an independent, non-partisan ""think and do tank"" dedicated to strengthening the foundations of Israeli democracy. Established in 1991, IDI supports Israel's elected officials, civil servants, and opinion leaders in four main ways: research, dialogue, reform, and inculcation of values. ",http://en.idi.org.il/
"Israel Experience, Inc.",United States,"Israel Experience, Inc. was an advocacy agency for educational travel to Israel, and a precursor of Birthright Israel. It provided several options for study programs in Israel. The programs were sponsored by an array of agencies, and were aimed at diverse age groups.  ",
Israel Festival ,Israel,"The Israel Festival is an established and prestigious multidisciplinary festival. The festival is committed to the presentation of high-quality, international productions in the fields of dance, music, theater, and performance, alongside original Israeli productions and outdoor events for the public at large. The festival also features professional conferences, master classes, and workshops with visiting international artists. The festival was founded 54 years ago as a music festival in Caesarea. Since the 1980s, it has been taking place annually in Jerusalem over a three-week period, in venues including the Jerusalem Theater, the Tower of David, Sultan’s Pool, the Gerard Bechar Center, Mazia House, the YMCA, Beit Shmuel, Hansen House, the First Station, Ein Karem, the Israel Museum and more.",http://israel-festival.org/en/
Israel Guide Dog Center for the Blind,Israel,"The mission of the Israel Guide Dog Center for the Blind is to improve the quality of life of blind people by providing them with safe mobility, independence and self-confidence through the faithful assistance of guide dogs.",http://israelguidedog.org/
Israel Initiative 2020 Inc.,Israel,Israel Initiative 2020 is a non-profit organization that is in the process of building 7 tech hubs in underserved areas throughout Israel. The Foundation's goal is to create a critical mass of high-quality knowledge-based tech jobs surrounding a regional theme that is rooted in each region's strengths and competitive advantages while building important social and cultural elements that enrich and empower each region's communities. ,
Israel Philharmonic Orchestra,Israel,"In 1998 a large grant was made by ACBP to the Israel Philharmonic Orchestra for an innovative series called Concerts in Jeans, aimed at attracting a younger generation to the concert hall. The series became extremely popular and continues today. In 2012, Charles Bronfman announced a ten million dollar gift to renovate the orchestra’s auditorium. This historic structure, known in Hebrew as Heichal ha-Tarbut, will be renewed to the benefit of all citizens of Tel Aviv and the country at large.  In Charles Bronfman’s words: “the decision to donate to Tel Aviv’s auditorium stems from my view that we, here in America, should assist in realizing a full life in Israel, which includes culture.”",http://www.ipo.co.il/eng/homepage/.aspx
Israel Policy Forum,United States,"Israel Policy Forum is a non-partisan organization dedicated to supporting responsible U.S. diplomatic efforts that aim to secure Israel’s future as a strong, Jewish and democratic state.",http://www.israelpolicyforum.org/
Israel Tennis Centers,Israel,"Israel Tennis Centers (ITC) is one of the largest social service organizations for children in Israel, serving over 20,000 Israeli children every year. The ITC’s 14 centers stretch from Kiryat Shmona in the North to Beer Sheva in the South. Many of these centers are in underprivileged neighborhoods, providing disadvantaged children with a safe, structured and nurturing environment. ",http://www.israeltenniscenters.org/
Israel 21c,United States,"ISRAEL21c creates, aggregates, and broadly disseminates high-quality information to the international community about the Israel that exists beyond the pervasive imagery of conflict that characterizes so much of western media reporting. Our goal is to strengthen the vibrant and enduring partnership between the United States and Israel, and between Americans and Israelis.",http://www.israel21c.org/
IWK Children's Hospital Foundation,Canada,"The IWK is a world-class, specialized health care facility for Maritime women, youth and children. It is the mission at the Foundation to raise money to support the excellence of this amazing space.",http://iwkfoundation.org/
JCC Association (Illinois),United States,The vision of the JCC Movement is to create a vibrant and welcoming Jewish environment that encourages people to lead engaged lives of meaning and purpose. The JCC’s primary purpose is to strengthen Jewish life.,http://jcca.org/
JCC Association (New York),United States,The vision of the JCC Movement is to create a vibrant and welcoming Jewish environment that encourages people to lead engaged lives of meaning and purpose. The JCC’s primary purpose is to strengthen Jewish life.,http://jcca.org/
Jerusalem Business Development Center,Israel,"MATI – the Jerusalem Business Development Center, a not-for-profit organization (Amuta), was established in 1991 to help entrepreneurs and business owners start or expand businesses in Jerusalem and environs. MATI provides assistance in opening new businesses and expanding the existing ones in all fields: Industry and crafts, trade, hi-tech, services and tourism.",www.mati.org.il
Jerusalem Center for Public Affairs,United States,"The Jerusalem Center for Public Affairs, a registered Amutah in Israel, is a leading independent research institute specializing in public diplomacy and foreign policy.",http://jcpa.org/
Jerusalem Cinematheque - Israel Film Archive,Israel,The Israel Film Archive is the official institute responsible for the collection and preservation of tens of thousands of Israeli and international films.,www.jer-cin.org.il
Jerusalem Film Institute,Israel,"Founded in 1991, this is was one of the main production companies established to train Palestinians in the audiovisual field and raise the profile of cinema in Palestine. ",
Jerusalem International YMCA,Israel,"The Jerusalem International YMCA building, with its elegant arches, domes and 152-foot observation tower, is a historical landmark that serves as a center of cultural, athletic, social and intellectual life in Jerusalem.",http://www.jerusalemymca.org/
Jerusalem Music Centre,Israel,"Since its opening in 1973, the Jerusalem Music Centre (JMC) has been providing the music and music education communities in Israel with a world-class national resource centre, dedicated to encouraging the country’s finest talents, bridging the distance between Israel and the rest of the music world, and initiating and implementing much needed programmes and projects that the education system and culture establishment cannot provide.",http://www.jmc.co.il/
Jerusalem Spinoza Institute,Israel,"The Jerusalem Spinoza Institute works to promote tolerance, pluralism, and education for democracy. The institute is named for the 17th Century philosopher, theoretician of tolerance and Jewish excommunicate Baruch Spinoza (1632-1677). It was founded in 1984 to rekindle interest in Spinoza and to examine his relevance to modern Jewish and Israeli life. The institute produces academic seminars and public education programs to broaden public consciousness on the issues of coexistence, cultural and religious pluralism and diversity in Israeli society and the larger Jewish world.",
Jewish Agency for Israel,Israel,"The Jewish Agency for Israel connects the global Jewish family by bringing Jews to Israel, and Israel to Jews by providing meaningful Israel engagement and facilitating Aliyah. We build a better society in Israel - and beyond - energizing young Israelis and their worldwide peers to rediscover a collective sense of Jewish purpose.",http://www.jewishagency.org/
Jewish Book Council,United States,"The mission of the Jewish Book Council is to promote the reading, writing, publishing and distribution of quality Jewish content books in English, to serve as the national resource center for information about the American Jewish literary scene, to serve as the coordinating body of Jewish literary activity in North America in both general and Jewish venues, to serve as the North American representative of Jewish literature on the international scene.",http://www.jewishbookcouncil.org/
"Jewish Causes of Choice, Inc.",United States,Jchoice.org was developed to expand the commitment to giving and strengthen the Jewish identity of the next generation of Jewish philanthropists.,http://www.jchoice.org/
Jewish Public Library,Canada,"The Jewish Public Library (JPL) remains unique among Montreal’s - and the world’s - Jewish institutions. A full service lending and research library containing North America’s largest circulating Judaica collection, we are an internationally-recognized resource while also meeting the informational, educational and recreational needs of Jewish Montrealers of all ages and backgrounds.",http://www.jewishpubliclibrary.org/splash.php
Jewish Rehabilitation Hospital Foundation,Canada,"The Jewish Rehabilitation Hospital (JRH) is a general and specialized care hospital focusing on rehabilitation. It is in addition the regional center for pediatric and adult services for individuals with physical disabilities. The Hospital offers (2nd line) adaptation and rehabilitation services, support to social reintegration services and accommodation in non-institutional residences. The objective of these services is the recovery of optimal autonomy.",http://hjr-jrh.qc.ca/en/
Jewish Telegraphic Agency,United States,"JTA is the definitive, trusted global source of breaking news, investigative reporting, in-depth analysis, opinion and features on current events and issues of interest to the Jewish people. An unaffiliated not-for-profit organization, we pride ourselves on our independence and integrity.",http://www.jta.org/
Jewish Television Network,United States,"JTN's mission is to produce and distribute television and broadband programming that reflects Judaism and Jewish values, leading to a more engaged, educated and involved community across the nation and around the world.",
Joshua Venture Group,United States,"Joshua Venture Group invests in leaders with unique ideas that we believe will significantly impact the Jewish world. Social entrepreneurs selected to participate in our Dual Investment Program receive over $100,000 in funding and support – including training, exposure and access to networks in the Jewish world – which equip them to realize their visions and to transform the Jewish landscape.",http://joshuaventuregroup.org/
JPRO Network,United States,"JPRO Network, formerly Jewish Communal Service Association of North America, is a network of local groups, comprised of Jewish community professionals in North America. JPRO is not only a shortened form for Jewish Professional, the PRO also stands for Professional Resource Organization. The mission is to Connect, Educate, Inspire and Empower Jewish community professionals.",http://jpro.org/
Judaism and Democracy Action Alliance of North America Inc.,United States,"The goal of Judaism and Democracy Action Alliance of North America is to enhance popular appreciation of the value placed by traditional Jewish texts and teaching on civic involvement, democratic principles, civil dialogue among different population groups, the promotion of peace, the lessening of inter-group tensions, and the protection of human dignity. ",
Juvenile Diabetes Research Foundation,Canada,"For over 40 years, JDRF has been a global leader in the search for an end to type 1 diabetes (T1D), through both research funding and advocacy. JDRF’s research is committed to improving the lives of every person with T1D and to curing this disease. JDRF's research goals are realized by the projects being supported in three basic areas: Cure, Treat, Prevent.",http://www.jdrf.ca/
Kehilat Kol HaNeshama,Israel,Congregation Kol Haneshama is an active & lively center for Progressive Judaism in Jerusalem. The kehilla is located in Baka. Our community is founded upon the core value of equality. We believe that every one is created in the image of God and in the Jewish value of responsibility for one another.,http://www.kolhaneshama.org.il/Eng/kolhaneshama
Kerem Institute for Teacher Training for Humanistic-Jewish Education,Israel,"Kerem Institute for Teacher Training for Humanistic-Jewish Education recruits promising university students and trains them to become an outstanding educators in Jewish studies, humanities and the arts.  Dedicated to integrating modern Western values and Jewish culture, Kerem prepares teachers to meet today's educational challenges with openness and respect for all students.  Kerem stresses practical teaching experience and innovative approaches that bring literature, history, art, Bible and Jewish thought alive for children of different backgrounds.  Studies at Kerem are tuition-free in exchange for a commitment from each graduate to teach at least three years full-time or five years part-time upon completion of the program.  This request is to support financing of scholarships for young teachers.",
Keren Klita,Israel,"Keren Klita, a voluntary organization providing aid and support for immigrants from the former Soviet Union has now been integral to the successful assimilation of immigrants in the region for some years. ",http://www.one-to-one.org/projects/keren-klita-programme-for-immigrants-in-jerusalem/
Kesher Inc.,Israel,Kesher Inc. is an organization/program which helps Israelis living abroad to stay informed about and involved in Israeli civic life.  These funds were used to help Israelis living in the U.S. and Europe to fly to Israel for the 1999 elections.,
Kivunim,United States,"KIVUNIM is a program in international Jewish education. At a time when both Americans in general and American Jews in particular are feeling increasingly alienated from the broader world around, KIVUNIM provides an intensive academic and experiential encounter with Middle Eastern, North African, Asian and European cultures and our unique program dramatically expands and broadens the perspective of our students.",http://www.kivunim.org/
Kolel: The Adult Centre for Liberal Jewish Learning,Canada,"Since its inception in 1991, Kolel has established its reputation as a dynamic, pluralistic, egalitarian institution where men and women can engage in Jewish learning which values both traditional and liberal interpretations.",
Koret Israel Economic Development Funds,Israel,KIEDF was established in 1994 to demonstrate that deploying philanthropy efficiently and effectively can stimulate private sector economic expansion and create employment opportunity in Israel.,http://www.kiedf.com/
Les Amis de la montagne,Canada,"Les amis de la montagne exists to protect and enhance Mount Royal through community involvement and environmental education. A registered charitable organization founded in 1986, Les amis de la montagne’s network includes citizens from a variety of associations allied with the heads of philanthropic foundations and company presidents. All share the same passion, that of protecting and enhancing the mountain.",http://www.lemontroyal.qc.ca/en/learn-about-mount-royal/homepage.sn
Lincoln Center for the Performing Arts,United States,"Lincoln Center (Lincoln Center for the Performing Arts) serves three roles: world’s leading presenter of superb artistic programming, national leader in arts and education and community relations, and manager of the Lincoln Center campus.",http://www.lincolncenter.org/
Little League ,United States,"Better than any other youth sport activity, baseball and softball have become the thread that has sewn together a patchwork of nations and cultures around the world. Little League is a heritage to be carried forward proudly in the future by ever increasing waves of those devoted to teaching children how to play and enjoy these great games.",http://www.littleleague.org/Little_League_Online.htm
